编号,项目,点位,隐患类型,标题,问题描述,整改建议,风险等级,责任人,复核人,期限,整改前证据
XF-QP-001,青浦智造产业园消防维保试点,1号楼 B1 配电间前室,消防通道,前室堆放清洁工具,现场发现清洁工具和纸箱占用前室通道，影响应急疏散。,清理全部杂物，张贴禁止堆放标识，上传整改后照片。,紧急,物业工程-陈工,安全负责人-周经理,2026-06-15,维保报告第1项；整改前照片1张
XF-QP-002,青浦智造产业园消防维保试点,1号楼 2F 东侧楼梯间,防火门,防火门闭门器回弹无力,防火门无法自动闭合，存在防火分隔失效风险。,维修或更换闭门器，提交自动闭合短视频。,重大,外包维修-赵师傅,维保项目-李工,2026-06-15,维保报告第2项；整改前视频1段
XF-QP-003,青浦智造产业园消防维保试点,1号楼 4F 共享办公区,应急照明,应急照明灯断电测试不亮,断电测试时应急照明灯未亮起，影响疏散照明。,更换灯具或电池，上传断电测试照片。,普通,物业工程-陈工,安全负责人-周经理,2026-06-17,维保报告第3项；巡检照片1张
XF-QP-004,青浦智造产业园消防维保试点,1号楼 6F 走廊,报警系统,手动报警按钮标识脱落,手动报警按钮旁标识脱落，现场识别不清。,补齐标识并上传现场照片。,普通,维保项目-李工,安全负责人-周经理,2026-06-17,维保报告第4项
XF-QP-005,青浦智造产业园消防维保试点,2号楼 1F 大堂,灭火器,灭火器压力指针偏低,大堂西侧灭火器压力指针接近黄色区域。,更换或重新充装灭火器，上传压力表照片和凭证。,普通,物业客服-沈主管,维保项目-李工,2026-06-16,巡检照片1张；设备编号MFZ-0021
XF-QP-006,青浦智造产业园消防维保试点,2号楼 3F 西侧茶水间,喷淋遮挡,高柜遮挡喷淋头,茶水间高柜顶部距离喷淋头过近，影响喷淋覆盖。,调整高柜位置或降低堆放高度，上传前后对比照片。,紧急,租户负责人-王店长,安全负责人-周经理,2026-06-15,现场照片2张
XF-QP-007,青浦智造产业园消防维保试点,2号楼 5F 北侧消防栓,消防栓,消防栓箱门开启不顺畅,消防栓箱门开启卡滞，影响应急取用。,维修箱门铰链，确认可顺畅开启并上传照片。,普通,外包维修-赵师傅,维保项目-李工,2026-06-17,巡检照片1张
XF-QP-008,青浦智造产业园消防维保试点,3号楼 B1 车库 C 区,消防通道,疏散指示牌被广告牌遮挡,临时广告牌遮挡疏散指示标识。,移除遮挡物并恢复指示牌可视范围。,紧急,物业工程-陈工,安全负责人-周经理,2026-06-15,整改前照片1张
XF-QP-009,青浦智造产业园消防维保试点,3号楼 2F 西侧防火门,防火门,防火门顺序器损坏,双扇防火门关闭顺序异常。,维修或更换顺序器，提交关闭测试视频。,重大,外包维修-赵师傅,维保项目-李工,2026-06-15,维保报告第9项
XF-QP-010,青浦智造产业园消防维保试点,3号楼 8F 会议区,应急照明,安全出口灯面板松动,安全出口指示灯面板松动，有脱落风险。,重新固定面板并上传整改后照片。,普通,物业工程-陈工,安全负责人-周经理,2026-06-17,巡检照片1张
XF-QP-011,青浦智造产业园消防维保试点,4号楼 1F 装卸平台,消防通道,装卸货物占用消防通道,装卸平台临时货物占用消防通道约1.5米。,清理通道并划线管理，上传清理后照片。,紧急,仓储主管-刘主管,安全负责人-周经理,2026-06-15,现场照片2张
XF-QP-012,青浦智造产业园消防维保试点,4号楼 2F 东侧走廊,灭火器,灭火器缺少月检卡,灭火器箱内2具灭火器缺少月检记录卡。,补齐月检卡并完成检查记录。,普通,物业客服-沈主管,维保项目-李工,2026-06-17,维保报告第12项
